
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
      0     0.00       0.00       0.00   20272   1 cfprefsd
      0     0.00       0.00       0.00   20273   1 cfprefsd
      0     0.00       0.00       0.00   20280   1 cfprefsd
      0     0.00       0.00       0.00   20281   1 cfprefsd
      0     0.00       0.00       0.00   20282   1 cfprefsd
      0     0.00       0.00       0.00   20301   1 cfprefsd
      0     0.00       0.86       0.08   22715 …15 CGPDFService
      0     0.00      29.62      26.16     836   1 ChatGPTHelper
      0     0.00       1.94       0.07   13436 …35 chrome_crashpad_handler
      0     0.00       1.94       0.05   21860 …59 chrome_crashpad_handler
      0     0.00      25.58      15.39     721   1 chronod
      0     0.00       2.83       1.20   19821   1 ciphermld
      0     0.00      45.84     527.75    9789   1 Cisco Secure Client
      0     0.00       6.92       0.30   22766 …66 ClassroomSettings
      0     0.00       0.00       0.00     519 519 cloudd
      0     0.00      23.34      34.37     662   1 cloudd
      0     0.00      29.08      15.80     882   1 Cloudflare WARP
      0     0.00       0.00       0.00     556 556 CloudflareWARP
      0     0.00       6.42       0.54     990   1 cloudphotod
      0     0.00       0.00       0.00     551 551 CloudTelemetryService
      0     0.00      12.00       2.77     739 739 CloudTelemetryService
      0     0.00       6.11       0.57     914 914 CloudTelemetryService
      0     0.00       0.00       0.00    1010 …10 CloudTelemetryService
      0     0.00       3.48       0.12   20306 …06 CloudTelemetryService
      0     0.00       2.31       0.15   20314 …14 CloudTelemetryService
      0     0.00       0.95       0.04     707   1 CMFSyncAgent
      0     0.00       0.00       0.00     501 501 colorsync.displayservices
      0     0.00       2.08       0.07    1160   1 colorsync.useragent
      0     0.00       0.00       0.00     510 510 colorsyncd
      0     0.00       2.08       0.06    1170   1 com.apple.accessibility.mediaaccessibilityd
      0     0.00       0.00       0.00   20663 …63 com.apple.AmbientDisplayAgent
      0     0.00      90.69       1.28   31020 …20 com.apple.appkit.xpc.openAndSavePanelService
      0     0.00       0.00       0.00     579 579 com.apple.AppleUserHIDDrivers
      0     0.00       0.00       0.00    1055 …55 com.apple.AppStoreDaemon.StorePrivilegedODRService
      0     0.00       0.00       0.00     521 521 com.apple.audio.Core-Audio-Driver-Service.helper
      0     0.00       0.00       0.00     538 538 com.apple.audio.Core-Audio-Driver-Service.helper
      0     0.00       0.00       0.00     541 541 com.apple.audio.Core-Audio-Driver-Service.helper
      0     0.00       0.00       0.00     522 522 com.apple.audio.DriverHelper
      0     0.00       0.00       0.00     534 534 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.02     874 874 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.02     876 876 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.02     938 938 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.03     946 946 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.03     947 947 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.03     948 948 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.05    1024 …24 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.04    1025 …25 com.apple.audio.SandboxHelper
      0     0.00       0.00       0.00    1049 …49 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.04    7355 …55 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.02   17080 …80 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.02   18672 …72 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.02   18673 …73 com.apple.audio.SandboxHelper
      0     0.00       0.02       0.02   21888 …88 com.apple.audio.SandboxHelper
      0     0.00      10.94       0.02   31010 …10 com.apple.audio.SandboxHelper
      0     0.00      10.98       0.04   31018 …18 com.apple.audio.SandboxHelper
      0     0.00      11.08       0.03   31550 …50 com.apple.audio.SandboxHelper
      0     0.00       4.81       0.46   19818   1 com.apple.BKAgentService
      0     0.00       0.86       0.03   18825   1 com.apple.CharacterPicker.FileService
      0     0.00       4.97       0.41     764 764 com.apple.CloudDocs.iCloudDriveFileProvider
      0     0.00       4.39       0.14   17393   1 com.apple.CloudPhotosConfiguration
      0     0.00       0.00       0.00     402 402 com.apple.cmio.registerassistantservice
      0     0.00       0.00       0.00     535 535 com.apple.cmio.videodriverkithostextension
      0     0.00       0.00       0.00     520 520 com.apple.CodeSigningHelper
      0     0.00       0.00       0.00     507 507 com.apple.ColorSyncXPCAgent
      0     0.00       0.67       0.01    1161 …61 com.apple.ColorSyncXPCAgent
      0     0.00       0.00       0.00   20664 …64 com.apple.ColorSyncXPCAgent
      0     0.00       0.02       0.04    8425   1 com.apple.DictionaryServiceHelper
      0     0.00       7.81       1.98     732 732 com.apple.dock.extra
